address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	q0	q1	q2	q3 
0x50	18:18:46.140	-0.1323	0.0620	0.9839	-1.8921	-0.3052	-0.0610	4.2902	7.8278	-89.6594	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.140	-0.1318	0.0625	0.9858	-2.1973	0.0000	-0.4883	4.2792	7.8278	-89.6594	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.140	-0.1304	0.0581	0.9844	-1.7700	-0.3052	0.0000	4.2737	7.8278	-89.6594	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.140	-0.1299	0.0581	0.9863	-1.6479	0.1221	-0.1221	4.2627	7.8278	-89.6594	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.140	-0.1338	0.0610	0.9844	-1.4038	0.0610	-0.3662	4.2572	7.8278	-89.6594	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.140	-0.1348	0.0596	0.9829	-1.5259	0.0000	0.4883	4.2517	7.8278	-89.6594	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.140	-0.1338	0.0605	0.9839	-1.7090	-0.0610	1.1597	4.2407	7.8278	-89.6539	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.143	-0.1304	0.0615	0.9849	-1.5259	0.0000	0.9155	4.2352	7.8278	-89.6429	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.143	-0.1304	0.0635	0.9839	-1.3428	0.1831	0.4272	4.2297	7.8278	-89.6429	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.143	-0.1318	0.0625	0.9810	-1.5259	0.0610	0.6104	4.2242	7.8278	-89.6375	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.143	-0.1323	0.0625	0.9819	-1.8921	0.0610	0.9155	4.2188	7.8333	-89.6320	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.143	-0.1313	0.0615	0.9829	-1.7090	0.1221	1.0376	4.2078	7.8333	-89.6265	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.143	-0.1284	0.0630	0.9824	-1.4648	0.1831	1.1597	4.2023	7.8333	-89.6210	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.143	-0.1279	0.0659	0.9814	-1.7090	0.2441	0.9766	4.1968	7.8333	-89.6100	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.143	-0.1299	0.0669	0.9829	-2.2583	0.3662	0.6104	4.1858	7.8333	-89.6045	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.143	-0.1313	0.0620	0.9849	-2.4414	0.3662	0.5493	4.1748	7.8333	-89.6045	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.177	-0.1318	0.0571	0.9844	-1.8921	0.3662	0.8545	4.1638	7.8387	-89.5990	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.177	-0.1333	0.0581	0.9844	-1.5259	0.4272	0.9766	4.1583	7.8387	-89.5935	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.177	-0.1338	0.0601	0.9834	-1.8311	0.3052	1.2817	4.1528	7.8387	-89.5825	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.177	-0.1323	0.0601	0.9829	-1.8311	0.2441	1.4648	4.1473	7.8442	-89.5770	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.177	-0.1294	0.0596	0.9849	-1.8311	0.3052	1.4648	4.1364	7.8442	-89.5660	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.177	-0.1294	0.0591	0.9868	-2.0142	0.4272	1.2207	4.1309	7.8442	-89.5605	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.177	-0.1304	0.0571	0.9873	-1.8921	0.4883	1.1597	4.1199	7.8442	-89.5496	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.177	-0.1304	0.0552	0.9878	-1.8311	0.4883	1.5259	4.1144	7.8497	-89.5441	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.238	-0.1313	0.0562	0.9858	-1.4648	0.6714	1.4648	4.1089	7.8497	-89.5331	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.238	-0.1323	0.0586	0.9834	-1.3428	0.7324	1.2817	4.1034	7.8552	-89.5276	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.238	-0.1318	0.0596	0.9834	-1.7090	0.7324	1.7090	4.0979	7.8607	-89.5166	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.238	-0.1299	0.0596	0.9824	-1.7700	0.9155	2.1362	4.0869	7.8607	-89.5056	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.240	-0.1294	0.0586	0.9819	-1.5259	1.1597	2.0142	4.0814	7.8662	-89.4946	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.240	-0.1313	0.0620	0.9795	-1.1597	1.3428	1.8311	4.0759	7.8717	-89.4836	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.240	-0.1338	0.0620	0.9780	-1.7700	1.3428	2.1362	4.0704	7.8772	-89.4727	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.240	-0.1338	0.0620	0.9780	-1.8311	1.2817	2.5024	4.0649	7.8882	-89.4562	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.335	-0.1299	0.0625	0.9805	-1.8921	1.2817	2.8076	4.0594	7.8937	-89.4452	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.335	-0.1279	0.0664	0.9839	-2.0142	1.6479	2.3804	4.0540	7.8992	-89.4287	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.338	-0.1270	0.0635	0.9834	-2.3193	1.7700	2.2583	4.0430	7.9047	-89.4122	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.338	-0.1294	0.0635	0.9863	-2.6855	2.0142	1.7700	4.0320	7.9156	-89.4012	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.346	-0.1343	0.0557	0.9849	-2.6855	1.9531	1.5259	4.0210	7.9266	-89.3903	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
0x50	18:18:46.346	-0.1377	0.0513	0.9902	-2.5024	1.7700	2.0752	4.0100	7.9321	-89.3793	0.0000	0	0	0	0.00000	0.00000	0.00000	0.00000 
